ProductRegNo,SLPID,TAC,RegType,SerialNo,productCategory,modelID,modelDescription,consigneeName
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,GZ3Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,2K1Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,46CY563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,49CY563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,8R0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,JX3Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,HR0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,BR0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,BS9Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,CR0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,3QBY563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,9R0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,JB2Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,GR0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,3HD1663,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,HSD1663,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,BRM1663,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
