SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
CIDF16000057,2017-03-27T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,Playjam Ltd.,2016-03-28T00:00:00
HIDF17000005,2022-01-26T00:00:00,M2M NETWORK SDN BHD,"Queclink Wireless Solution Co., Ltd",2017-01-12T00:00:00
HIDF16000076,2017-04-25T00:00:00,DING DING TECHNOLOGY (M) SDN BHD,SHENZHEN BRAVO TECHNOLOGY CO. LTD,2016-04-26T00:00:00
HIDF16000068,2017-04-12T00:00:00,WAN LEE BROTHERS SDN BHD,"Guangdong Alpha Animation and Culture Co., Ltd. ",2016-04-13T00:00:00
CIDF20000027,2021-02-18T00:00:00,PHILIPS MALAYSIA SDN. BHD.,Respironics Inc. (Philips Respironics),2020-02-19T00:00:00
HIDF19000051,2020-03-20T00:00:00,XIDDIG CELLULAR COMMUNICATIONS SDN BHD,"Coriant Operations, Inc",2019-03-21T00:00:00
HIDF16000086,2017-05-04T00:00:00,METROHM (MALAYSIA) SDN BHD,Metrohm AG,2016-05-05T00:00:00
HIDF16000089,2022-01-10T00:00:00,CT FRANK TECHNOLOGY (M) SDN BHD,shang hai xin ran electronic technology co.ltd,2016-05-13T00:00:00
HIDF16000061,2020-12-25T00:00:00,RTS TECHNOLOGY SDN BHD,"YDT TECHNOLOGY INTERNATIONAL CO., LTD. ",2016-03-31T00:00:00
HIDF16000111,2020-11-13T00:00:00,AVS SOLUTIONS SDN.BHD.,Roland DG Corporation,2016-06-09T00:00:00
CIDF20000048,2021-03-12T00:00:00,DPI TECHNOLOGY SDN BHD,Roland DG Corporation,2020-03-13T00:00:00
HIDF20000033,2021-02-24T00:00:00,DPI TECHNOLOGY SDN BHD,Roland DG Corporation,2020-02-25T00:00:00
CIDM15000045,2022-07-16T00:00:00,PANASONIC AVC NETWORKS KUALA LUMPUR MALAYSIA SDN BHD,PANASONIC AVC NETWORKS KUALA LUMPUR (M) SDN. BHD,2015-03-19T00:00:00
HIDF16000064,2017-04-05T00:00:00,EDS DISTRIBUTION SDN BHD,"VP9 Vietnam, JSC",2016-04-06T00:00:00
HIDF16000074,2017-04-19T00:00:00,GLOBAL APPROVALS SDN BHD,Seeing Machines Ltd,2016-04-20T00:00:00
HIDF18000045,2021-06-22T00:00:00,V.S. INTEGRATED MANAGEMENT SDN. BHD.,Seeing Machines Ltd,2018-02-23T00:00:00
HIDF16000242,2017-11-21T00:00:00,TEAM MEDICAL & SCIENTIFIC S/B,"WTW GmbH, Geschaftsbereich ebro electronic",2016-11-22T00:00:00
CIDF16000070,2017-04-14T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,"Shenzhen Ukelink New Technology Co., Ltd",2016-04-15T00:00:00
CIDF18000152,2021-01-13T00:00:00,UCLOUDLINK SDN BHD,Hongkong Ucloudlink Network Technology Limited,2018-06-28T00:00:00
HIDF17000130,2021-11-22T00:00:00,SKYWORTH DEVELOPMENT MALAYSIA SDN BHD,"Shenzhen Chuangwei-RGB Electronics Co., Ltd",2017-07-07T00:00:00
HIDF16000142,2017-07-12T00:00:00,FLEX IT SOLUTIONS SDN BHD,VeloCloud Inc.,2016-07-13T00:00:00
HIDF16000224,2021-12-10T00:00:00,HOT GADGETS DISTRIBUTION SDN. BHD.,HARMAN INTERNATIONAL INDUSTRIES.INCORPORATED,2016-11-04T00:00:00
CIDF18000066,2019-03-18T00:00:00,APTIV MALAYSIA SDN. BHD.,DELPHI ELECTRONICS & SAFETY,2018-03-19T00:00:00
HIDF16000099,2022-06-27T00:00:00,EXCLUSIVE MAGNITUDE (M) SDN BHD,"Shenzhen Chainway Information technology Co., Ltd",2016-05-20T00:00:00
HIDF16000117,2022-03-24T00:00:00,DYNAMICS DISTRIBUTION SDN. BHD.,HTC Corporation.,2016-06-15T00:00:00
HIDF16000095,2022-08-08T00:00:00,FC-BIOS SDN BHD,SIRIUS MICROSYSTEMS CO.,2016-05-17T00:00:00
CIDF16000110,2017-06-06T00:00:00,JOHN ACKERMAN SDN BHD,iRobot Corporation,2016-06-07T00:00:00
HIDF18000290,2019-12-27T00:00:00,JOHN ACKERMAN SDN BHD,iRobot Corporation,2018-12-28T00:00:00
CIDM16000098,2017-05-18T00:00:00,ZQ GENERATION SDN BHD,ZQ GENERATION SDN BHD ,2016-05-19T00:00:00
CIDF16000130,2018-08-28T00:00:00,TJM PRODUCTS SDN. BHD.,SUDIO AB,2016-06-30T00:00:00
HIDF16000103,2019-05-16T00:00:00,WORLD OF DANDEE SDN BHD,GUANGDONG MINGYU INDUSTRY CO LTD.,2016-05-27T00:00:00
HIDF16000093,2017-05-16T00:00:00,PETTORWAY ASIA SDN. BHD.,"Pettorway Co., Limited",2016-05-17T00:00:00
CIDF16000214,2017-10-23T00:00:00,PERMASENSE ASIAPAC SDN BHD,Permasense Ltd.,2016-10-24T00:00:00
HIDF17000151,2018-08-02T00:00:00,CENCITRIS SDN BHD,"Ruijie Networks Co., Ltd.",2017-08-03T00:00:00
CIDF16000114,2017-06-13T00:00:00,VCS SDN BHD,"Ruijie Networks Co., Ltd.",2016-06-14T00:00:00
CIDF16000114,2021-12-28T00:00:00,RUIJIE MALAYSIA SDN BHD,"Ruijie Networks Co., Ltd.",2018-12-17T00:00:00
HIDF20000041,2022-03-08T00:00:00,WANTJOIN (MALAYSIA) SDN BHD,LENOVO (BEIJING) LTD.,2020-03-05T00:00:00
CIDF15000051,2022-03-18T00:00:00,LENOVO TECHNOLOGY SDN. BHD.,LENOVO (BEIJING) LIMITED,2015-03-20T00:00:00
HIDF16000102,2018-06-28T00:00:00,WIWIDE SDN. BHD.,SHANGHAI WIWIDE NETWORK TECHNOLOGY CO. LTD.,2016-05-27T00:00:00
HIDF16000145,2021-03-25T00:00:00,DARULTEK INSTRUMENT SDN BHD,Netscout System Inc,2016-07-13T00:00:00
CIDF16000193,2022-04-11T00:00:00,INTRANET SDN BHD,Geotab Inc.,2016-09-21T00:00:00
CIDF16000193,2020-09-12T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,Geotab Inc.,2019-09-13T00:00:00
HIDF20000129,2021-07-27T00:00:00,CTI RESOURCES SDN. BHD.,"Xiamen Four-Faith Communication Technology Co., Ltd",2020-07-28T00:00:00
CIDF17000032,2018-02-28T00:00:00,ID SYSTEM SOLUTIONS SDN BHD,"Hitachi Industrial Equipment Systems Co.,Ltd.",2017-03-01T00:00:00
HIDF16000150,2017-07-19T00:00:00,FULL IMAGE SDN BHD,React Mobile LLC,2016-07-20T00:00:00
HIDF16000216,2021-01-19T00:00:00,YANG LOONG MARKETING SDN. BHD.,ZHEN YE TOYS FACTORY,2016-10-27T00:00:00
HIDF17000076,2018-04-26T00:00:00,DENTSPLY(SINGAPORE) PTE LTD,Maillefer Instruments Holding Sarl ,2017-04-27T00:00:00
HIDF16000187,2017-09-14T00:00:00,GALLA DENTAL CORPORATION SDN BHD,Maillefer Instruments Holding Sarl ,2016-09-15T00:00:00
HIDF16000121,2017-06-22T00:00:00,N DENT SDN BHD,Maillefer Instruments Holding Sarl ,2016-06-23T00:00:00
HIDF16000131,2020-08-01T00:00:00,DENEAST SDN BHD,Maillefer Instruments Holding Sarl ,2016-06-30T00:00:00
HIDF16000118,2019-06-13T00:00:00,METROVERSE SDN BHD,Genexis BV,2016-06-16T00:00:00
CIDM16000119,2018-08-08T00:00:00,BAFCO ASIA SDN BHD,BIG ASS SOLUTIONS,2016-06-17T00:00:00
HIDM19000084,2020-05-13T00:00:00,BAFCO ASIA SDN BHD,Bafco Asia Sdn Bhd,2019-05-14T00:00:00
CIDF21000134,2022-08-16T00:00:00,SCANIA (MALAYSIA) SDN. BHD.,BROSE FAHRZEUGTEILE SE & CO.,2021-08-17T00:00:00
CIDF17000216,2022-09-09T00:00:00,TEC D DISTRIBUTION (MALAYSIA) SDN. BHD.,PANASONIC CORPORATION .,2021-09-10T00:00:00
CIDF17000216,2020-04-18T00:00:00,HORNBILL RUGGED NETWORKS SDN BHD,PANASONIC CORPORATION .,2019-04-19T00:00:00
CIDF17000216,2022-06-03T00:00:00,SEKTOR DISTRIBUTORS SDN. BHD.,PANASONIC CORPORATION .,2018-03-09T00:00:00
CIDF17000216,2021-11-05T00:00:00,INNOVIX DISTRIBUTION SDN. BHD.,PANASONIC CORPORATION .,2017-10-25T00:00:00
CIDF17000216,2022-06-02T00:00:00,HORNBILL RUGGED NETWORKS SDN BHD,PANASONIC CORPORATION .,2018-01-08T00:00:00
CIDF16000149,2018-08-08T00:00:00,MEASAT BROADCAST NETWORK SYSTEMS SDN. BHD.,Zinwell Corporation.,2016-07-18T00:00:00
HIDF18000167,2021-06-11T00:00:00,IIT DISTRIBUTION,Zinwell Corporation,2018-07-19T00:00:00
HIDF16000137,2017-07-03T00:00:00,GOODOO (M) SDN BHD,MIRACLE ELITE (HK) LIMITED,2016-07-04T00:00:00
CIDF18000246,2021-06-30T00:00:00,RAINBOW DISTRIBUTION SDN. BHD,Huawei technologies Co. Ltd,2018-11-05T00:00:00
CIDF16000163,2017-08-15T00:00:00,CLMO TECHNOLOGY SDN BHD,GAINSPAN CORPORATION,2016-08-16T00:00:00
HIDF16000209,2019-04-22T00:00:00,PERFICIENT TECHNOLOGY SDN BHD,"Shenzhen Eacome Electronics Co.,Ltd ",2016-10-18T00:00:00
HIDF15000133,2017-09-08T00:00:00,CSL MANUFACTURING (M) SDN. BHD.,Shenzhen Tinno Mobile Technology Corp. Ltd.,2015-04-28T00:00:00
HIDF16000225,2022-04-13T00:00:00,RICH ZONE INTERNATIONAL TRADING SDN BHD,Zoewi Technology Co. Ltd,2016-11-08T00:00:00
HIDF16000134,2017-06-30T00:00:00,POSIFLEX BUSINESS MACHINES SDN BHD,POSIFLEX TECHNOLOGY INC,2016-07-01T00:00:00
HIDF16000158,2021-11-22T00:00:00,BUILD TECHNOLOGY SUPPLY SDN. BHD.,SYNOLOGY INCORPORATED,2016-08-10T00:00:00
CIDF16000192,2022-06-28T00:00:00,GN RESOUND MALAYSIA SDN. BHD.,GN Hearing A/S,2016-09-21T00:00:00
HIDF16000177,2017-08-24T00:00:00,BASIC DEPTH SDN BHD,"Superdigital Technology Co., Ltd.",2016-08-25T00:00:00
CIDF17000017,2018-02-01T00:00:00,MAGPIE TECHNOLOGIES (MALAYSIA) SDN. BHD.,Innova Technology Pte. Ltd.,2017-02-02T00:00:00
HIDF16000173,2020-12-09T00:00:00,PIXELATED SDN. BHD.,PIXELATED SDN BHD,2016-08-23T00:00:00
CIDF18000130,2022-10-14T00:00:00,GE HEALTHCARE SDN. BHD.,"RF Ideas, Inc",2021-10-15T00:00:00
CIDF18000130,2021-02-23T00:00:00,CANON MARKETING (MALAYSIA) SDN. BHD.,"RF Ideas, Inc",2020-02-24T00:00:00
HIDF16000161,2022-03-10T00:00:00,TRILLIANT NETWORKS SDN. BHD. (FORMERLY KNOWN AS TRILLIANT NETWORKS (MALAYSIA) SDN. BHD.),"TRILLIANT NETWORKS INC.,",2016-08-16T00:00:00
HIDF19000106,2021-06-16T00:00:00,SKYTECH SYSTEM ,"Quanzhou Dingxu Infomation Technology Co., Ltd",2019-06-18T00:00:00
HIDF16000174,2017-08-22T00:00:00,RED GRAPES SDN BHD,Red Grapes Sdn Bhd,2016-08-23T00:00:00
HIDF16000174,2017-08-22T00:00:00,RED GRAPES SDN BHD,"SHENZHEN ZHIBOTONG ELECTRONICS CO., LTD.",2016-08-23T00:00:00
HIDF16000174,2017-08-22T00:00:00,RED GRAPES SDN BHD,"Zhibotong (Shenzen) Electronics Co., Ltd",2016-08-23T00:00:00
HIDF16000195,2017-09-26T00:00:00,TUXURI SDN BHD,"Shenzhen Helor Cloud Computer Co., Ltd.",2016-09-27T00:00:00
CIDF17000134,2018-07-12T00:00:00,M3 TECHNOLOGIES (ASIA) BERHAD,"SHENZHEN CANTRACK TECHNOLOGY CO., LTD.",2017-07-13T00:00:00
HIDF16000197,2020-09-26T00:00:00,ARGUS TECHNOLOGIES SDN BHD,ARGUS TECHNOLOGIES SDN BHD,2016-09-28T00:00:00
HIDF16000166,2021-10-22T00:00:00,HSA TECHNOLOGIES SDN BHD,HSA TECHNOLOGIES SDN BHD,2016-08-19T00:00:00
CIDF16000251,2022-02-26T00:00:00,GROLIER (MALAYSIA) SDN. BHD.,Haier International (HK) Limited,2016-12-06T00:00:00
HIDF16000156,2017-08-08T00:00:00,EDUPOINT TECHNOLOGY (M) SDN. BHD.,"ShenZhen Century Noah Education Electronic Co., Ltd",2016-08-09T00:00:00
HIDF19000100,2021-09-22T00:00:00,MERIDIAN 2000 SDN. BHD.,Senceive,2019-06-12T00:00:00
HIDF16000186,2021-10-13T00:00:00,HASBRO TOY (MALAYSIA) SDN.BHD,"Hasbro, Inc",2016-09-13T00:00:00
CIDF21000172,2022-10-19T00:00:00,VOLKSWAGEN GROUP (M) SDN BHD,LG ELECTRONICS INC (GYEONGGI-DO),2021-10-20T00:00:00
HIDM16000170,2018-10-04T00:00:00,PREMIUM SOUND SOLUTIONS SDN.BHD,PREMIUM SOUND SOLUTIONS SDN.BHD,2016-08-23T00:00:00
HIDF16000169,2018-08-21T00:00:00,ITRIMECH TECHNOLOGY (M) SDN BHD,AI-THINKER CO. LTD.,2016-08-23T00:00:00
HIDF16000213,2021-11-08T00:00:00,MKS MEDIC SDN BHD,MEDTRONIC INTERNATIONAL LIMITED MALAYSIA BRANCH (993966-P),2016-10-24T00:00:00
CIDF16000168,2017-08-21T00:00:00,EURO CODE SDN BHD,MYLAN GROUP,2016-08-22T00:00:00
HIDF16000217,2018-10-25T00:00:00,DISTEXPRESS (M) SDN BHD,"AFTERSHOKZ, LLC",2016-10-27T00:00:00
HIDF16000259,2017-12-20T00:00:00,SIMPRO ENGINEERING SDN BHD,"SCHWEITZER ENGINEERING LABORATORIES, INC.",2016-12-21T00:00:00
HIDF17000160,2022-05-09T00:00:00,COMPUNATION TECHNOLOGY SDN BHD,"Power Idea Technology  (Shenzhen)  Co.,  Ltd.",2017-08-10T00:00:00
HIDF17000092,2020-05-01T00:00:00,RITZ HILL CONSOLIDATED SDN.BHD,PENSONIC  INDUSTRIES SDN. BHD.,2017-05-15T00:00:00
CIDF16000191,2018-10-10T00:00:00,EASTOOL SOLUTION SDN.BHD.,EASTOOL SOLUTION SDN.BHD.,2016-09-20T00:00:00
HIDF16000198,2017-09-28T00:00:00,IOG VENTURE SDN BHD ,iHealth (Hong Kong)Labs Limited,2016-09-29T00:00:00
HIDF20000009,2021-01-16T00:00:00,EMINET SDN BHD,AMIT WIRELESS INC,2020-01-17T00:00:00
HIDF17000269,2022-09-22T00:00:00,MAXITULIN SDN BHD,AMIT WIRELESS INC,2017-12-26T00:00:00
CIDF16000207,2019-01-02T00:00:00,THORUS TECHNOLOGY SDN. BHD.,COMMTIVA TECHNOLOGY LIMITED,2018-01-03T00:00:00
CIDF16000207,2017-10-12T00:00:00,COMMTIVA TECHNOLOGY SDN. BHD.,COMMTIVA TECHNOLOGY LIMITED,2016-10-13T00:00:00
HIDF16000179,2017-08-29T00:00:00,SA MOBITEL MALAYSIA SDN BHD,SA MOBITEL MALAYSIA SDN BHD,2016-08-30T00:00:00
CIDF16000202,2018-10-05T00:00:00,MERCEDES-BENZ MALAYSIA SDN. BHD.,HUF Electronics Bretten GmbH,2016-10-07T00:00:00
HIDF17000048,2018-03-26T00:00:00,CHIMERA-TECH SDN. BHD.,CATAPULT SPORTS,2017-03-27T00:00:00
HIDF16000223,2022-04-11T00:00:00,INNO SUPPLY & SERVICES SDN BHD,"SHENZHEN INSS TECHNOLOGY CO.,LTD",2016-11-04T00:00:00
CIDF21000045,2022-03-22T00:00:00,AUDEONET (M) SDN BHD,EVOKO UNLIMITED AB,2021-03-23T00:00:00
HIDF21000137,2022-08-19T00:00:00,EXACT ANALYTICAL SDN BHD,"Honeywell Analytics Asia Pacific Co., Ltd.",2021-08-20T00:00:00
CIDF17000174,2021-09-01T00:00:00,BAN LEONG TECHNOLOGIES SDN. BHD.,RAZER INC,2017-08-24T00:00:00
HIDM16000229,2018-12-06T00:00:00,EASYIO CORPORATION SDN BHD,EASYIO CORPORATION SDN BHD,2016-11-10T00:00:00
CIDF17000141,2020-07-31T00:00:00,EASYIO CORPORATION SDN BHD,EASYIO CORPORATION SDN BHD,2017-07-27T00:00:00
HIDF20000221,2021-11-23T00:00:00,MAGNUM ESSENCE SDN.BHD,PAX Comoputer Technology (Shenzhen) Co.Ltd,2020-11-24T00:00:00
CIDF19000241,2020-11-12T00:00:00,LEDLUX (M) SDN BHD,"Xi an NovaStar Tech Co., LTD.",2019-11-13T00:00:00
CIDF16000211,2021-12-01T00:00:00,LEDLUX (M) SDN BHD,"Xi an NovaStar Tech Co., LTD.",2016-10-21T00:00:00
HIDF17000008,2021-08-26T00:00:00,CYBERGUARD SYSTEMS SDN. BHD.,"Yu Jya Technology Co., Ltd.",2017-01-18T00:00:00
HIDF19000105,2022-01-12T00:00:00,QUAD INTEGRATION SDN BHD,"Yu Jya Technology Co., Ltd.",2019-06-18T00:00:00
HIDF19000040,2020-03-03T00:00:00,CASIO MALAYSIA SDN BHD,CASIO COMPUTER CO. LTD,2019-03-04T00:00:00
CIDF16000085,2022-05-18T00:00:00,FOSSIL TIME MALAYSIA SDN.BHD,"Fossil Group, Inc.",2016-05-04T00:00:00
HIDF16000219,2020-04-16T00:00:00,W LOCATE TECHNOLOGIES SDN BHD,QUADRANT TELEMATICS PTE LTD,2016-10-28T00:00:00
HIDF17000001,2018-01-08T00:00:00,JABEN AUDIO (M) SDN BHD,3IOS PTE LTD,2017-01-09T00:00:00
HIDF18000237,2019-10-22T00:00:00,JARINGAN PENERAJU SDN. BHD.,"POINT MOBILE. CO., LTD",2018-10-23T00:00:00
HIDF16000228,2017-11-08T00:00:00,WCS IT SOLUTION,"PIPO TECHNOLOGY CO., LIMITED",2016-11-09T00:00:00
HIDF16000227,2017-11-07T00:00:00,ASIA TELEPROGRAMMING SDN BHD,Mobipromo International LLC,2016-11-08T00:00:00
HIDF16000256,2022-08-03T00:00:00,MAKITA POWER TOOLS (MALAYSIA) SDN BHD,MAKITA CORPORATION,2016-12-19T00:00:00
CIDF18000118,2022-04-27T00:00:00,ZIONCOM TECHNOLOGY SDN BHD,ZIONCOM ELECTRONICS (SHENZHEN) LTD.,2019-03-25T00:00:00
CIDF18000118,2022-08-02T00:00:00,AFFORDA NOTEBOOK SOLUTIONS SDN. BHD.,ZIONCOM ELECTRONICS (SHENZHEN) LTD.,2018-05-17T00:00:00
HIDF16000236,2021-12-27T00:00:00,KLINGEN & ERLESEN SDN BHD,"GT TELECOM CO., LTD",2016-11-17T00:00:00
HIDF18000101,2022-09-26T00:00:00,UNISERV SOLUTIONS SDN BHD,3M Center,2018-04-20T00:00:00
HIDF16000265,2022-02-04T00:00:00,NATION-TECH SDN BHD,SteelSeries ApS.,2016-12-28T00:00:00
CIDF17000010,2018-01-19T00:00:00,GLOBAL APPROVALS SDN BHD,DATAFLEX DESIGN COMMUNICATION LTD,2017-01-20T00:00:00
HIDF16000244,2022-05-03T00:00:00,NCTECH GROUP SDN BHD,"NTTWORKS CO., LTD",2016-11-24T00:00:00
HIDF16000245,2018-12-19T00:00:00,KUALA LUMPUR HARVEST SDN BHD,"WILL CO., LTD",2016-11-24T00:00:00
HIDF18000288,2019-12-26T00:00:00,MJ LABO SDN BHD,"WILL CO., LTD",2018-12-27T00:00:00
HIDF19000046,2020-03-13T00:00:00,VISION WIFI SDN BHD,"Shenzhen Harvilon Technology Co., Ltd",2019-03-14T00:00:00
CIDF16000220,2017-10-31T00:00:00,KRV WIRELESS SDN. BHD.,YITEXUN TEXHNOLOGY CO. LTD,2016-11-01T00:00:00
HIDF16000232,2017-11-16T00:00:00,HOVID BERHAD,Hovid Bhd,2016-11-17T00:00:00
HIDF16000246,2021-12-28T00:00:00,NEXT GENERATION SMART HOME SDN. BHD.,"SHANGHAI XIAOYI TECHNOLOGY CO., LTD",2016-11-24T00:00:00
CIDF17000180,2018-08-24T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,STRATTEC Security Corporation,2017-08-25T00:00:00
CIDF17000180,2021-07-09T00:00:00,WEARNES AUTOHAUS SDN. BHD.,STRATTEC Security Corporation,2020-07-10T00:00:00
CIDF16000258,2021-12-06T00:00:00,SMITH & NEPHEW HEALTHCARE SDN. BHD.,"Smith & Nephew, Inc.",2016-12-20T00:00:00
HIDF16000240,2017-11-17T00:00:00,KONTAIN DIGITAL SDN BHD,"Shenzhen Sowell Technology Co., Ltd",2016-11-18T00:00:00
HIDF17000144,2019-11-26T00:00:00,KOOCAN (MALAYSIA) SDN. BHD.,"Shenzhen Sowell Technology Co., Ltd",2017-07-28T00:00:00
HIDF17000220,2022-02-28T00:00:00,A&L ADVENTURE & LEISURE SDN BHD,Suunto Oy,2017-10-26T00:00:00
HIDF17000040,2022-07-25T00:00:00,AMER SPORTS MALAYSIA SDN BHD,Suunto Oy,2017-03-13T00:00:00
HIDF18000109,2019-04-29T00:00:00,A.D. TIME SDN BHD,Suunto Oy,2018-04-30T00:00:00
CIDF16000253,2017-12-07T00:00:00,P&P PROCESS & PNEUMATICS SDN. BHD,"Dwyer Instruments, Inc.",2016-12-08T00:00:00
HIDF16000238,2017-11-17T00:00:00,I.GADGET COMPANY,shenzhen electronic technology co.ltd hailing wind,2016-11-18T00:00:00
HIDF16000234,2019-03-28T00:00:00,VANGUARD ELECTRONIC SDN BHD,Optical Zonu Corp. ,2016-11-17T00:00:00
CIDF18000093,2022-05-04T00:00:00,SUPREME LANDMOBILE & WIRELESS CORPORATION SDN. BHD.,"Shenzhen Action Technologies Co., Ltd.",2018-04-16T00:00:00
HIDF17000205,2020-08-01T00:00:00,IDEAL SYSTEMS (MALAYSIA) SDN BHD,Dejero,2017-10-12T00:00:00
HIDF16000248,2020-01-28T00:00:00,ARMATRACK SDN BHD,GLOBALSTAR INC,2016-12-01T00:00:00
HIDF17000128,2021-08-20T00:00:00,SIGNIFY MALAYSIA SDN. BHD,Philips Lighting BV,2017-07-04T00:00:00
HIDF17000101,2020-05-23T00:00:00,LATIMAX SYSTEMS SDN BHD,"CareRay Digital Medical System Co., Ltd. ",2017-05-24T00:00:00
CIDF17000028,2018-02-16T00:00:00,TURCOMP ENGINEERING SERVICES SDN. BHD.,ITT Goulds Pumps Inc.,2017-02-17T00:00:00
CIDF16000260,2017-12-20T00:00:00,BMW MALAYSIA SDN. BHD.,TeraTron GmbH,2016-12-21T00:00:00
CIDF16000260,2018-06-21T00:00:00,SIME DARBY AUTO IMPORT SDN BHD,TeraTron GmbH,2017-06-22T00:00:00
HIDF17000057,2022-08-26T00:00:00,ASH ASIA SDN BHD,Audio Pro AB,2017-03-30T00:00:00
HIDF16000262,2020-11-24T00:00:00,SOPHIC AUTOMATION SDN BHD,CHUWI  INNOVATION  LIMITED,2016-12-22T00:00:00
HIDF17000044,2022-06-23T00:00:00,SAINTINK INCORPORATION (M) SDN BHD,"Zhuhai Pantum Electronics Co., Ltd.",2017-03-21T00:00:00
CIDF17000006,2018-01-11T00:00:00,APPLICATION SOLUTION ENTERPRISE,BlueAnt Wireless,2017-01-12T00:00:00
HIDF19000063,2021-09-09T00:00:00,ARISTA NETWORKS MALAYSIA SDN. BHD,"Mojo Networks, Inc.",2019-04-17T00:00:00
CIDF17000009,2018-01-19T00:00:00,EURO CODE SDN BHD,DOMINO UK LTD.,2017-01-20T00:00:00
HIDF19000068,2021-09-13T00:00:00,KONE ELEVATORS (M) SDN BHD,Kone Corporation,2019-04-25T00:00:00
HIDM18000081,2019-04-05T00:00:00,SWAG TECHNOLOGIES SDN BHD,SWAG TECHNOLOGIES SDN BHD,2018-04-06T00:00:00
CIDF17000071,2018-04-16T00:00:00,GE POWER SYSTEMS ( MALAYSIA) SDN BHD,GE Sensing $ Inspection (Changzhou) Co Ltd,2017-04-17T00:00:00
HIDM17000126,2021-04-27T00:00:00,LINEAR DMS SOLUTIONS SDN. BHD.,Linear DMS Solutions Sdn. Bhd.,2017-06-28T00:00:00
CIDF17000203,2018-10-09T00:00:00,INFINITE DATA SDN. BHD.,"MIMOSA NETWORK,INC",2017-10-10T00:00:00
CIDF20000143,2021-08-16T00:00:00,HORNBILL RUGGED NETWORKS SDN BHD,PANASONIC SYSTEM SOLUTIONS ASIA PACIFIC,2020-08-17T00:00:00
HIDF21000017,2022-02-01T00:00:00,YUPITERU TECHNOLOGY (M) SDN BHD,PIONEER CORPORATION..,2021-02-02T00:00:00
HIDF21000050,2022-03-25T00:00:00,DJ TECHNOLOGY (M) SDN BHD,PIONEER CORPORATION..,2021-03-26T00:00:00
HIDF17000015,2018-01-31T00:00:00,IOTX HOLDINGS SDN. BHD.,"GuangDong Hisense Broadband Technology Co., Ltd",2017-02-01T00:00:00
HIDF17000096,2019-09-02T00:00:00,HASYON TEKNIK SDN BHD,"QUANZHOU FENGZE TESUNHO ELECTRONICS CO., LTD ",2017-05-16T00:00:00
HIDF17000054,2020-08-13T00:00:00,IOTX SOLUTIONS SDN BHD,"Nanjing IOT Sensor Technology Co., Ltd.",2017-03-29T00:00:00
CIDF17000012,2021-09-02T00:00:00,NIELSEN AUDIENCE MEASUREMENT SDN. BHD.,NIELSEN TV AUDIENCE MEASUREMENT S.A.,2017-01-25T00:00:00
HIDF17000011,2022-08-03T00:00:00,KOBELCO CONSTRUCTION MACHINERY MALAYSIA SDN BHD,"KOBELCO CONSTRUCTION MACHINERY CO., LTD.",2017-01-24T00:00:00
CIDF17000014,2018-01-25T00:00:00,RADIUS FUEL CARDS SDN BHD,CalAmp Wireless Networks ,2017-01-26T00:00:00
HIDF17000065,2020-06-17T00:00:00,MEGA FORTRIS TELEMATICS SDN. BHD.,CalAmp Wireless Networks ,2017-04-07T00:00:00
CIDF17000014,2019-06-05T00:00:00,RADIUS FUEL CARDS SDN BHD,CalAmp Wireless Networks ,2017-06-07T00:00:00
CIDF17000030,2018-02-22T00:00:00,MKS MEDIC SDN BHD,"DeVilbiss Healthcare, LLC",2017-02-23T00:00:00
HIDF20000070,2021-04-16T00:00:00,RBD HEALTHCARE SDN BHD,Sivantos GmbH,2020-04-17T00:00:00
HIDF18000182,2019-08-02T00:00:00,NYPRAX BUSINESS SOLUTIONS,Sivantos GmbH,2018-08-03T00:00:00
HIDF21000135,2022-08-18T00:00:00,PROCTER & GAMBLE (MALAYSIA) SDN BHD,Braun GmbH,2021-08-19T00:00:00
HIDF17000095,2019-07-01T00:00:00,RAM PACIFIC DISTRIBUTION SDN BHD,"NETRONIX, INC.",2017-05-16T00:00:00
CIDF17000068,2020-05-13T00:00:00,STANDARD JOY SDN BHD,"Yulong Computer Telecommunication Scientific(Shenzhen) Co., Ltd",2017-04-12T00:00:00
CIDF17000031,2020-07-09T00:00:00,VIX TECHNOLOGY (MALAYSIA) SDN BHD,Vix Technology,2017-02-23T00:00:00
CIDF19000128,2022-02-02T00:00:00,VIX TECHNOLOGY (MALAYSIA) SDN BHD,Vix Technology,2019-07-10T00:00:00
CIDF17000118,2018-06-12T00:00:00,MERCK SDN BHD,EMD Millipore Corporation,2017-06-13T00:00:00
HIDF17000039,2018-03-07T00:00:00,DAEWOO ELECTRONICS (M) SDN BHD,DAEWOO ELECTRONICS (M) SDN BHD,2017-03-08T00:00:00
CIDM17000041,2018-03-14T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,"Impinj, Inc.",2017-03-15T00:00:00
CIDF17000103,2020-05-29T00:00:00,STANDARD JOY SDN BHD,"SHENZHEN YUNJI INTELLIGENT TECHNOLOGY CO., LTD",2017-05-26T00:00:00
CIDF17000212,2018-10-22T00:00:00,HELIO MEDIA SDN BHD,HELIO MEDIA SDN BHD,2017-10-23T00:00:00
