SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
HIDF18000142,2019-06-12T00:00:00,INTER-REGISTER COMMUNICATIONS (M) SDN BHD,CASIO COMP CO LTD,2018-06-13T00:00:00
HIDF15000427,2019-11-13T00:00:00,EITA ELECTRIC SDN. BHD.,PANASONIC ELECTRONIC DEVICES  CO LTD,2015-08-12T00:00:00
HIDF15000210,2021-11-08T00:00:00,DIVERSIFIED GATEWAY BERHAD,"NORTEL NETWORKS,INC",2015-06-03T00:00:00
HIDF15000226,2016-06-07T00:00:00,HASSLE-FREE MOBILE (M) SDN. BHD.,GENESIS GLOBAL TECHNOLOGY HK LTD,2015-06-08T00:00:00
HIDF18000235,2021-11-18T00:00:00,BT SYSTEMS (MALAYSIA) SDN. BHD.,CISCO SYSYTEMS INC,2018-10-17T00:00:00
HIDF15000198,2016-05-28T00:00:00,SUZUKI MALAYSIA AUTOMOBILE SDN. BHD.,FUJITSU TEN LTD,2015-05-29T00:00:00
CIDF15000128,2020-05-13T00:00:00,CSE AUTOMOTIVE TECHNOLOGIES SDN. BHD.,FUJITSU TEN LTD,2015-04-27T00:00:00
CIDM18000148,2019-06-24T00:00:00,BSMART SYSTEM SOLUTIONS SDN BHD,BSMART SOLUTIONS (M) SDN BHD,2018-06-25T00:00:00
HIDF18000278,2021-01-28T00:00:00,FURUNO ELECTRIC (MALAYSIA) SDN. BHD.,"FURUNO ELECTRIC CO, LTD",2018-12-13T00:00:00
HIDF15000356,2022-07-21T00:00:00,RADII ELECTRONICS SDN BHD,"FURUNO ELECTRIC CO, LTD",2015-07-06T00:00:00
HIDF15000549,2016-11-12T00:00:00,RADII ELECTRONICS SDN BHD,"FURUNO ELECTRIC CO, LTD",2015-11-13T00:00:00
HIDF18000011,2022-08-10T00:00:00,INGENICO SOLUTIONS (MALAYSIA) SDN BHD,INGENICO SA,2018-01-16T00:00:00
HIDF15000071,2022-03-18T00:00:00,IBM MALAYSIA SDN. BHD.,IBM CORP. USA,2015-03-26T00:00:00
HIDF20000171,2021-09-14T00:00:00,XYLEM WATER SOLUTIONS MALAYSIA SDN BHD,TUV PRODUCT SERVICE INC,2020-09-15T00:00:00
HIDM20000181,2021-10-04T00:00:00,TECH ARMORY SDN BHD,INTEL ELECTRONICS (MALAYSIA) SDN. BHD.,2020-10-05T00:00:00
HIDF16000184,2022-07-26T00:00:00,RACOM ELECTRONICS SDN. BHD.,JAPAN RADIO COMPANY LTD,2016-09-07T00:00:00
HIDF15000531,2021-11-17T00:00:00,M-LINK SYSTEM (M) SDN. BHD,LOGITECH SINGAPORE PTE LTD,2015-10-29T00:00:00
HIDF15000555,2017-12-06T00:00:00,ORBCOMM SATELLITE MALAYSIA SDN BHD,QUAKE GLOBAL INC,2015-11-20T00:00:00
HIDF15000584,2022-07-26T00:00:00,OLYMPUS (MALAYSIA) SDN. BHD.,OLYMPUS MEDICAL SYSTEMS CORP,2015-12-21T00:00:00
HIDF15000183,2022-01-26T00:00:00,RES MALAYSIA SDN. BHD.,BLUEBIRD SOFT. INC,2015-05-27T00:00:00
