28,SESI EXECUTIVE TALK : GREEN FUND INITIATIVE,20 APRIL 2021,INSTITUT LATIHAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBEX,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
29,BENGKEL PENGURUSAN CERUN DI KAWASAN PIHAK BERKUASA TEMPATAN DAN LESSON LEARNED,20-21 APRIL 2021,PERUNDING KEJURUTERAAN AWAM,GOOGLE MEET,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
30,REVIEW OF CASES AFFECTING THE CONSTRUCTION INDUSTRY,24 APRIL 2021,PERTUBUHAN AKITEK MALAYSIA (PAM),"BAYVIEW GEORGETOWN, 25 A, LEBUH FARQUHAR",FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,BERSEMUKA (OFFLINE)
31,REFLEKSI RAMADAN KURSUS PEMBANGUNAN INSANIAH,21 APRIL 2021,PSUKPP,ZOOM,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
32,"APRESIASI WARISAN: KONSERVASI BNAGUNAN WARISAN KATEGORI 1 , DEWAN BANDARAYA PULAU PINANG",27 APRIL 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
33,LANDSKAP RAMADHAN: TANGGUNGJAWAB DAN IBADAH KEMANISAN IMAN,27 APRIL 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
34,WEBINAR BANDAR RENDAH KARBON: KELESTARIAN ALAM SEKITAR TANGGUNGJAWAB BERSAMA,27 APRIL 2021,KEMENTERIAN ALAM SEKITAR DAN AIR (KASA),WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
35,BENGKEL MEMUDAHCARA URUSAN PERMOHONAN PERMIT PEMBINAAN DI PULAU PINANG SIRI 2/2021,27 APRIL 2021,PSUKPP,"HOTEL ICONIC , JALAN ICON CITY, ICON BUKIT MERTAJAM 10400 PULAU PINANG",GENERIK,PENGURUSAN PEJABAT,SMART SOSIAL,BERSEMUKA (OFFLINE)
36,"PROGRAM IHYA RAMADHAN ""GOLONGAN YANG RUGI DI BULAN RAMADHAN",28 APRIL 2021,PSUKPP,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
37,"TERAPI MINDA : "" MINDA SIHAT, JIWA TENANG, PRESTASI CEMERLANG"" SIRI 2/2021",28 APRIL 2021,"LEMBAGA PENDUDUK DAN PEMBNGUNAN KELUARGA NEGARA , NEGERI PULAU PINANG (LPPKN)",PUSAT KELUARGA LPPKN BERTAM,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,BERSEMUKA (OFFLINE)
BIL,NAMA KURSUS,TARIKH,ANJURAN,TEMPAT,JENIS TERAS,TERAS LATIHAN,DOMAINS,KAEDAH LATIHAN
,BENGKEL PEMURNIAN MYPORTFOLIO ; PANDUAN KERJA SEKTOR AWAM UNTUK KAKITANGAN MBPP,4 MEI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),ZOOM,FUNGSIONAL,PENGURUSAN REKOD AWAM,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
110,RSOG 5/2021 : POLICYMAKING IN A TIME OF BLACK SWANS,4 MEI 2021,RAZAK SCHOOL OF GOVERNMENT (RSOG),ZOOM,FUNGSIONAL,UNDANG-UNDANG DAN DASAR,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
143,SEMINAR PEMATUHAN  SENARAI SEMAK AUDIT AKSESIBILITI BERDASARKAN REKABENTUK SEJAGAT BAGI PEMAJUAN DI NEGERI PULAU PINANG,4 MEI 2021,PEJABAT SETIAUSAHA KERAJAAN  PULAU PINNAG (PSUKPP),"E&O HOTEL, PENANG",GENERIK,INTEGRITI,SMART GOVERNANCE,BERSEMUKA (OFFLINE)
150,KURSUS KAD HIJAU CIDB SIRI 1,4 MEI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),"AUDITORIUM A , TINGKAT 5 KOMTAR",GENERIK,PENGURUSAN PEJABAT,SMART GOVERNANCE,BERSEMUKA (OFFLINE)
175,TAZKIRAH RAMADHAN : PUASA DAN INTEGRITI,5 MEI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),ZOOM,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOCIAL,"TIDAK BERSEMUKA
(ONLINE)"
218,WORLD #QURANHOUR,6 MEI 2021,PERBADANAN PERPUSTAKAAN AWAM PULAU PINANG (PPAPP),ZOOM,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOCIAL,"TIDAK BERSEMUKA
(ONLINE)"
251,BENGKEL LIBAT URUS BERSAMA PEMEGANG TARUH UNTUK MENGEMASKINI ADAPTASI DALAM NATIONALLY DETERMINED CONTRIBUTION (NDC) UPDATE,6 MEI 2021,KEMENTERIAN ALAM SEKITAR DAN AIR,ZOOM,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
255,STORMWATER MANAGEMENT : A LANDSCAPE PROJECT MANAGEMENT APPROACH,7 MEI 2021,ILAM CENTRE OF EXCELLENCE INSTITUTE OF LANDCAPE ARCHITECTS MALAYSIA (ILAM),ZOOM,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
