BIL,NAMA_KURSUS,TARIKH_MULA,TARIKH_AKHIR,ANJURAN,TEMPAT,JENIS_TERAS,TERAS_LATIHAN,DOMAINS,KAEDAH_LATIHAN
1,"PROGRAM BICARA ILMU : ""PUASA SI PENGHUNI AR-RAYYAN""",2021-04-01,2021-04-01,81dfb067-fe17-436f-994c-ee6e73d968c8,"AUDITORIUM A, KOMTAR",GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
2,PEMANTAPAN DAN MAJLIS PENYERAHAN WATIKAH PELANTIKAN PEGAWAI FOCAL POINT DASAR KETERANGKUMAN GENDER (DKG) NEGERI PULAU PINANG,2021-04-01,2021-04-01,fbacc70d-c786-4df7-b71c-d3b826fcaa2c,COURTYARD BY MARRIOT PENANG,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
3,"PENANG LESTARI, APADIA TU?",2021-04-01,2021-04-01,833fea23-b366-4189-b72c-29b2173f3405,ZOOM,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
4,PEMANTAPAN ISO 9001:2015 SISTEM PENGURUSAN KUALITI (QMS) ,2021-04-02,2021-04-02,7466eef1-51ea-4860-9813-b22cf45e2a4e,"AUDITORIUM C, KOMTAR",GN,ac803436-f75e-49cc-a7af-9dd49e6b8486,2f540625-6835-4afc-8938-903a85b34155,BS
5,PELAN INDUK BATU KAWAN,2021-04-03,2021-04-03,bfc98ed4-fb74-49e1-9bbb-ef6936cf697b,OLIVE TREE HOTEL PENANG,FN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,2f540625-6835-4afc-8938-903a85b34155,BS
6,BENGKEL SIASATAN DALAMAN,2021-04-05,2021-04-07,833fea23-b366-4189-b72c-29b2173f3405,"ICONIC HOTEL, BUKIT MERTAJAM",FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,BS
7,BENGKEL DRAF RANCANGAN TEMPATAN PULAU PINANG,2021-04-05,2021-04-05,7466eef1-51ea-4860-9813-b22cf45e2a4e,PUSAT LATIHAN MBPP LEBUH PANTAI,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,BS
8,KURSUS PENGECAMAN DAN PENGAWETAN LARVA NYAMUK AEDES,2021-04-06,2021-04-07,4000f21d-8c9b-43f3-a835-b3bca28621a1,"BILIK MESYUARAT , KLINIK KESIHATAN BUKIT MINYAK",FN,f999f1a9-28c8-4906-9022-42f514e98a58,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,BS
9,WEBINAR INTAN EXECUTIVE LECTURE SERIES : MEMERANGI PENDEMIK COVID-19 : PERSPEKTIF WIRA NEGARA,2021-04-06,2021-04-06,2d904241-fba1-4fea-b511-9b325e566905,FACEBOOK LIVE,FN,f999f1a9-28c8-4906-9022-42f514e98a58,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
10,"FOCUS GROUP DISCUSSION : CADANGAN PEMBANGUNAN BERCAMPUR DI ATAS TEBUS GUNA TANAH SELATAN (PENANG SOUTH RECLAMATION) DAN BAYAN LEPAS LIGHT RAIL TRANSIT (LRT) PROJECT SEGMENT 5,  PULAU PINANG",2021-04-07,2021-04-07,921ed32e-6dd6-4ca1-b476-f35a8991dd34,OLIVE TREE HOTEL PENANG,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,ec9bb07b-2c02-43a3-9a2b-f0648130ff13,BS
11,AKRAB CARE (EXIT POLICY),2021-04-07,2021-04-07,833fea23-b366-4189-b72c-29b2173f3405,HOTEL RAIA. PULAU PINANG,GN,6dde3724-7416-45f0-8fc8-e1c0cb92aef6,2f540625-6835-4afc-8938-903a85b34155,BS
12,URUS WANG MINDA TENANG,2021-04-08,2021-04-08,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,57fee8fb-6ddc-4e50-b41e-8a04c45ce1aa,22f3a100-5842-448b-93f2-df7fb7fdcc2e,TB
13,"RESET DIRI, ACCEPT REALITI",2021-04-08,2021-04-08,24cc5989-9ea7-4a34-b299-55c050506114,PUSAT KELUARGA LPPKN BERTAM,GN,1d124872-fd61-4990-98f9-3a0e48003097,22f3a100-5842-448b-93f2-df7fb7fdcc2e,BS
14,BENGKEL ISO 37001:2016 ANTI- BRIBERI MANAGEMENT SYSTEMS (ABMS) TAHUN 2021,2021-04-08,2021-04-09,833fea23-b366-4189-b72c-29b2173f3405,"THE LIGHT HOTEL, SEBERANG JAYA, PULAU PINANG",GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,2f540625-6835-4afc-8938-903a85b34155,BS
15,BICARA INTERGRITI ,2021-04-08,2021-04-08,833fea23-b366-4189-b72c-29b2173f3405,"THE LIGHT HOTEL, SEBERANG JAYA, PULAU PINANG",GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,2f540625-6835-4afc-8938-903a85b34155,BS
16,SEMINAR LAMPU JALAN,2021-04-08,2021-04-08,b15eac85-8a9d-4e7e-8ae9-03c40401c274,HOTEL JEN PENANG (CHA ROOM LEVEL 2),FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,BS
17,KURSUS KAD HIJAU CIBD,2021-04-09,2021-04-09,7466eef1-51ea-4860-9813-b22cf45e2a4e,"AUDITORIUM A, KOMTAR",FN,d2addd1d-4b15-4115-9ec3-9468b26721d6,2f540625-6835-4afc-8938-903a85b34155,BS
18,BENGKEL PENCERAHAN DAN LATIHAN PENGGUNAAN ALAT 'HAND HELD' BAGI PENGELUARAN PEMBERITAHUAN TENTANG KESALAHAN.,2021-04-09,2021-04-09,7466eef1-51ea-4860-9813-b22cf45e2a4e,"DEWAN SERBAGUNA TINGKAT 1 DEWAN BANDARAYA, JALAN PADANG KOTA, PULAU PINANG",GN,7ce970e0-e82a-4889-b6f4-87313161bb03,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
18,BENGKEL PENYEDIAAN GARIS PANDUAN TAPAK PEMPROSESAN SISA-SISA BAHAN BINAAN BAGI TUJUAN KITAR SEMULA,2021-04-09,2021-04-09,7466eef1-51ea-4860-9813-b22cf45e2a4e,"HOTEL IXORA, PERAI, PULAU PINANG",FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,BS
19,SEMINAR ASAS PENGIRING DAN PEMANDUAN VIP,2021-04-11,2021-04-11,15cd170f-bded-41b4-a2a1-50d95d6c5f60,DEWAN SEMINAR ICONIC HOTEL ARAS 7,FN,b6df89a3-6ab2-4e15-b7a3-f51120f38a27,ec9bb07b-2c02-43a3-9a2b-f0648130ff13,BS
20,BENGKEL SUAI MESRA AKRAB TAHUN 2021 PENTADBIRAN SETIAUSAHA KERAJAAN NEGARI PULAU PINANG,2021-04-12,2021-04-12,833fea23-b366-4189-b72c-29b2173f3405,"HOTEL SERI MALAYSIA KEPALA BATAS, PULAU PINANG",GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
21,5 ISU KRITIKAL SUMBER MANUSIA (HRD&HRM) DALAM ERA NORMA BAHARU,2021-04-12,2021-04-12,38526d4c-f6f9-4265-817b-9cfc82eb2c1f,WEBINAR,FN,f0bc355f-c2bd-4dfc-889d-cb3abe08173e,2f540625-6835-4afc-8938-903a85b34155,TB
22,BENGKEL PENGURUSAN PERUBAHAN UNTUK CHAMPIONS AND CHANGE AGENTS MAJLIS BANDARAYA PULAU PINANG BAGI PENANG SMART PARKING,2021-04-12,2021-04-12,b97b3bbb-5710-426d-aff9-114a565affd9,"HOTEL JEN , PENANG",FN,0f54455b-c897-40cb-bb67-ff1769466226,ec9bb07b-2c02-43a3-9a2b-f0648130ff13,BS
23,ICLEI WORLD CONGRESS 2021-2022 : VIRTUAL LAUNCH,2021-04-13,2021-04-15,bcf999c8-7a88-4516-bd22-d1d850b177d1,ZOOM,GN,2481ba73-4476-434c-a3c3-5a911fb1fa2e,2f540625-6835-4afc-8938-903a85b34155,TB
24,TAKLIMAT MENGENAI GERAN PEMANGKIN BANDAR RENDAH KARBON (GeRAK),2021-04-15,2021-04-15,9e2b77b3-5242-4a6f-af47-82827fcb573c,ZOOM,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
25,"LEBARAN DIRAI, SOP DIPATUHI",2021-04-16,2021-04-16,7466eef1-51ea-4860-9813-b22cf45e2a4e,ZOOM,GN,7ce970e0-e82a-4889-b6f4-87313161bb03,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
26,KURSUS PELAKSANAAN REKABENTUK SEJAGAT BERDASARKAN MS1184 DI PEMBANGUNAN SEDIA ADA SIRI 1/2021,2021-04-19,2021-04-19,1ffab750-f12a-439e-b9d1-cb1e84a1c188,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,2f540625-6835-4afc-8938-903a85b34155,TB
27,"KEJIRANAN HIJAU WEBINAR : ""SEDEKAD MELESTARI KEHIDUPAN""",2021-04-19,2021-04-19,e08ec7d9-7b55-4440-8088-2f4010ae5645,WEBEX,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
28,SESI EXECUTIVE TALK : GREEN FUND INITIATIVE,2021-04-20,2021-04-20,bc6c2bdf-d056-492d-b58c-a0be8b81f0f0,WEBEX,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
29,BENGKEL PENGURUSAN CERUN DI KAWASAN PIHAK BERKUASA TEMPATAN DAN LESSON LEARNED,2021-04-20,2021-04-21,PERUNDING KEJURUTERAAN AWAM,GOOGLE MEET,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,2f540625-6835-4afc-8938-903a85b34155,TB
