BIL,NAMA_KURSUS,TARIKH_MULA,TARIKH_AKHIR,ANJURAN,TEMPAT,JENIS_TERAS,TERAS_LATIHAN,DOMAINS,KAEDAH_LATIHAN
26,COVID-19 : SEMBANG BERSAMA SEKTOR KESIHATAN,2021-06-05,2021-06-05,a513589c-6cb0-45a4-9486-5712a289c590,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
35,WEGO E-GOVERMENT THEMATIC GROUP. - (L) - GOVERNANCE,2021-06-07,2021-06-07,WEGO,WEBINAR,GN,2481ba73-4476-434c-a3c3-5a911fb1fa2e,2f540625-6835-4afc-8938-903a85b34155,TB
45,RESILIENT LEADERSHIP : FOSTERING ORGANIZATIONAL EXCELENCE,2021-06-08,2021-06-08,b3c52fb6-74e1-4cae-abdc-901b2a65e781,WEBINAR,GN,83c36b75-c03e-418d-a410-71d146006b8e,2f540625-6835-4afc-8938-903a85b34155,TB
56,PENGENALAN PEROLEHAN PERKHIDMATAN PERUNDING DAN TATCARA DAN KAEDAH PEROLEHAN PERKHIDMATAN PERUNDING,2021-06-08,2021-06-08,LEMBAGA ARKITEK MALAYSIA (LAM),WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
58,GOOGLE WORKSPACE BERSAMA AWANTEC (Prestariang) - (T) - GOVERNANCE,2021-06-09,2021-06-09,a849e235-7907-4a57-aba0-517ae9327129,WEBINAR,FN,d1e33e1b-8fe9-4a6a-912f-e67ee8a2a1be,2f540625-6835-4afc-8938-903a85b34155,TB
62,KURSUS KESELAMATAN SIBER BILL2/2021,2021-06-10,2021-06-10,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
63,CYBERSECURITY EVOLTED,2021-06-10,2021-06-10,f3bc59a4-5e6a-4610-964b-726ea41fa51a,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
65,KURSUS ETIKET & PROTOKOL MAJLIS RASMI KERAJAAN,2021-06-12,2021-06-12,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
66,INFOGRAFICS CREATION IN ADOBE ILLUSTRATOR,2021-06-13,2021-06-13,aeebc53b-1778-456a-9176-4f1945c4fec7,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
90,TRANSBOUNDARY PILOT PROJECT DESIGN WORKSHOP FOR THE IMT-GT THROUGH THE URBAN-ACT PROJECT,2021-06-14,2021-06-15,312022a7-c77e-45cc-940d-98e942e0fe33,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
91,TM ONE WEBINAR -  BUILDING DIGITAL TRUST AND CYBERSECURITY RESILIENCE,2021-06-14,2021-06-14,d722826b-7d3f-442b-b29a-700e9b7661e5,WEBINAR,FN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
92,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",2021-06-15,2021-06-15,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
93,TRANSBOUNDARY CLIMATE CHANGE ACTION - DESIGN WORKSHOP DAY 1,2021-06-14,2021-06-14,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
94,TRANSBOUNDARY CLIMATE CHANGE ACTION - DESIGN WORKSHOP DAY 2,2021-06-15,2021-06-15,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
95,KURSUS PENGURUSAN PELANGGAN,2021-06-15,2021-06-15,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,6dde3724-7416-45f0-8fc8-e1c0cb92aef6,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
101,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",2021-06-16,2021-06-16,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
102,POST PANDEMIC URBAN RECOVERY- SMART HEALTH SOLUTION - ASIAN PERSPECTIVE,2021-06-16,2021-06-16,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
103,DRIVING ENGAGEMENT & PRODUCTIVITY WHEN TEAMS GO REMOTE- INSIGHTS FROM THE WORLD OF WORK PSYCHOLOGY,2021-06-16,2021-06-16,1cd4f21e-f1c3-405a-a9a5-36d11b1fd6c4,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
109,TECHNICAL CODES PROGRAMME 2021,2021-06-16,2021-06-17,b15d02fd-1bea-4d1a-8204-ef647c5d915f,WEBINAR,FN,d1e33e1b-8fe9-4a6a-912f-e67ee8a2a1be,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
110,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",2021-06-17,2021-06-17,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
111,TAKLIMAT PELAKSANAAN IMUNISASI COVID-19,2021-06-17,2021-06-17,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
165,THE FUTURE OF WORKS: THE DIGITAL WORKPLACE : RETHINK TODAY TO REDEFINE TOMORROW,2021-06-17,2021-06-17,6576ff71-8e82-46b9-a144-acbf94940f7a,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
171,KURSUS PANDUAN PENGURUSAN PERHUBUNGAN PELANGGAN DAN SERVIS KAUNTER: PEMATUHAN SOP KESELAMATAN,2021-06-17,2021-06-17,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,7ce970e0-e82a-4889-b6f4-87313161bb03,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
